iter	Passed	Remaining
478	620	674
479	620	672
480	621	670
481	622	669
482	623	667
483	624	665
484	624	663
485	625	661
486	626	659
487	626	657
488	627	655
489	628	654
490	629	652
491	629	650
492	630	648
493	632	647
494	633	645
495	633	644
496	634	642
497	635	640
498	636	638
499	636	636
500	637	635
501	638	633
502	639	631
503	639	629
504	640	627
505	641	626
506	642	624
507	642	622
508	643	620
509	644	619
510	645	617
511	646	616
512	647	614
513	648	612
514	649	611
515	649	609
516	650	607
517	651	605
518	651	604
519	652	602
520	653	600
521	654	599
522	654	597
523	655	595
524	656	594
525	657	592
526	658	590
527	658	589
528	659	587
529	660	586
530	661	584
531	662	582
532	663	581
533	664	579
534	665	577
535	665	576
536	666	574
537	667	573
538	668	571
539	668	569
540	669	567
541	670	566
542	670	564
543	671	563
544	672	561
545	673	560
546	675	559
547	676	558
548	677	556
549	678	554
550	679	553
551	679	551
552	680	550
553	681	548
554	682	547
555	683	545
556	683	543
557	684	542
558	685	540
559	685	538
560	686	537
561	687	535
562	688	534
563	690	533
564	691	532
565	692	530
566	693	529
567	694	527
568	694	526
569	695	524
570	696	523
571	697	521
572	697	520
573	698	518
574	699	517
575	700	515
576	701	514
577	702	512
578	703	511
579	704	509
580	705	508
581	706	507
582	707	505
583	708	504
584	709	503
585	710	501
586	710	500
587	711	498
588	712	497
589	713	495
590	714	494
591	714	492
592	715	491
593	716	489
594	717	488
595	718	486
596	719	485
597	720	484
598	721	482
599	722	481
600	722	479
601	723	478
602	724	476
603	725	475
604	726	474
605	726	472
606	727	471
607	728	469
608	729	468
609	729	466
610	730	465
611	732	464
612	733	463
613	735	462
614	736	460
615	737	459
616	737	458
617	738	456
618	739	455
619	740	453
620	740	452
621	741	450
622	742	449
623	743	447
624	744	446
625	744	445
626	745	443
627	746	442
628	747	440
629	748	439
630	749	438
631	750	436
632	751	435
633	752	434
634	752	432
635	753	431
636	754	429
637	754	428
638	755	426
639	756	425
640	757	424
641	758	422
642	759	421
643	759	420
644	761	418
645	762	417
646	763	416
647	764	415
648	765	414
649	766	412
650	767	411
651	767	409
652	768	408
653	769	407
654	770	405
655	771	404
656	771	402
657	772	401
658	773	400
659	774	398
660	774	397
661	775	396
662	776	394
663	777	393
664	778	392
665	779	391
666	780	389
667	781	388
668	782	386
669	782	385
670	783	384
671	784	382
672	785	381
673	785	380
674	786	378
675	787	377
676	788	376
677	789	374
678	789	373
679	790	372
680	791	370
681	792	369
682	793	368
683	794	367
684	795	365
685	796	364
686	797	363
687	798	362
688	799	360
689	800	359
690	800	358
691	801	356
692	802	355
693	803	354
694	804	353
695	805	351
696	807	351
697	808	349
698	809	348
699	810	347
700	811	346
701	812	344
702	813	343
703	814	342
704	815	341
705	816	340
706	817	338
707	818	337
708	819	336
709	820	335
710	821	334
711	822	332
712	823	331
713	824	330
714	825	329
715	826	327
716	827	326
717	828	325
718	829	324
719	830	322
720	831	321
721	832	320
722	833	319
723	834	317
724	835	316
725	836	315
726	837	314
727	838	313
728	840	312
729	841	311
730	842	309
731	843	308
732	843	307
733	844	306
734	845	304
735	846	303
736	847	302
737	848	301
738	850	300
739	851	299
740	852	298
741	854	296
742	855	295
743	856	294
744	857	293
745	858	292
746	858	290
747	859	289
748	860	288
749	861	287
750	862	285
751	862	284
752	863	283
753	864	282
754	866	281
755	867	279
756	868	278
757	869	277
758	870	276
759	871	275
760	871	273
761	872	272
762	873	271
763	874	270
764	875	269
765	876	267
766	877	266
767	878	265
768	879	264
769	880	262
770	881	261
771	882	260
772	883	259
773	884	258
774	885	257
775	886	255
776	887	254
777	887	253
778	888	252
779	889	250
780	890	249
781	891	248
782	891	247
783	892	245
784	894	244
785	895	243
786	896	242
787	897	241
788	897	240
789	898	238
790	899	237
791	900	236
792	901	235
793	902	234
794	902	232
795	903	231
796	904	230
797	905	229
798	906	227
799	906	226
800	907	225
801	908	224
802	909	223
803	911	222
804	911	220
805	912	219
806	913	218
807	914	217
808	915	216
809	915	214
810	916	213
811	917	212
812	918	211
813	918	209
814	919	208
815	920	207
816	921	206
817	922	205
818	923	204
819	924	202
820	925	201
821	926	200
822	927	199
823	928	198
824	929	197
825	930	195
826	931	194
827	931	193
828	932	192
829	933	191
830	934	190
831	935	188
832	935	187
833	936	186
834	937	185
835	938	184
836	939	182
837	940	181
838	941	180
839	942	179
840	943	178
841	944	177
842	944	175
843	945	174
844	946	173
845	947	172
846	948	171
847	949	170
848	949	168
849	950	167
850	951	166
851	952	165
852	954	164
853	956	163
854	957	162
855	958	161
856	959	160
857	959	158
858	960	157
859	961	156
860	962	155
861	963	154
862	964	153
863	965	151
864	966	150
865	966	149
866	967	148
867	968	147
868	969	146
869	970	145
870	971	143
871	972	142
872	973	141
873	974	140
874	975	139
875	976	138
876	977	137
877	978	135
878	978	134
879	979	133
880	980	132
881	981	131
882	982	130
883	983	129
884	984	127
885	985	126
886	986	125
887	987	124
888	988	123
889	989	122
890	989	121
891	990	119
892	991	118
893	992	117
894	993	116
895	994	115
896	994	114
897	995	113
898	996	111
899	997	110
900	998	109
901	999	108
902	1001	107
903	1002	106
904	1002	105
905	1003	104
906	1004	102
907	1005	101
908	1006	100
909	1006	99
910	1007	98
911	1008	97
912	1009	96
913	1010	95
914	1011	93
915	1011	92
916	1012	91
917	1013	90
918	1015	89
919	1015	88
920	1016	87
921	1017	86
922	1018	84
923	1019	83
924	1020	82
925	1020	81
926	1021	80
927	1022	79
928	1023	78
929	1024	77
930	1025	75
931	1025	74
932	1026	73
933	1027	72
934	1028	71
935	1029	70
936	1030	69
937	1031	68
938	1032	67
939	1033	65
940	1034	64
941	1034	63
942	1035	62
943	1037	61
944	1038	60
945	1039	59
946	1040	58
947	1040	57
948	1041	55
949	1042	54
950	1043	53
951	1045	52
952	1046	51
953	1047	50
954	1047	49
955	1048	48
956	1049	47
957	1050	46
958	1051	44
959	1052	43
960	1053	42
961	1054	41
962	1055	40
963	1056	39
964	1057	38
965	1058	37
966	1059	36
967	1060	35
968	1061	33
969	1062	32
970	1063	31
971	1064	30
972	1065	29
973	1066	28
974	1067	27
975	1068	26
976	1069	25
977	1069	24
978	1070	22
979	1071	21
980	1072	20
981	1073	19
982	1074	18
983	1075	17
984	1076	16
985	1077	15
986	1078	14
987	1079	13
988	1080	12
989	1081	10
990	1082	9
991	1083	8
992	1084	7
993	1085	6
994	1086	5
995	1087	4
996	1088	3
997	1089	2
998	1090	1
999	1091	0
